iter	Passed	Remaining
0	23	23904
1	41	20492
2	56	18868
3	70	17513
4	83	16686
5	97	16120
6	112	15941
7	125	15520
8	138	15230
9	153	15205
10	166	14935
11	179	14753
12	191	14544
13	203	14361
14	216	14207
15	229	14108
16	243	14065
17	257	14050
18	272	14065
19	285	13995
20	298	13905
21	312	13878
22	325	13807
23	339	13825
24	354	13810
25	368	13785
26	382	13783
27	396	13774
28	410	13744
29	424	13727
30	442	13819
31	457	13849
32	476	13958
33	493	14034
34	509	14045
35	523	14020
36	537	13984
37	552	13979
38	584	14408
39	630	15131
40	700	16387
41	760	17343
42	805	17937
43	864	18790
44	896	19034
45	920	19087
46	954	19354
47	982	19477
48	1023	19869
49	1040	19765
50	1053	19608
51	1069	19503
52	1083	19356
53	1097	19225
54	1112	19118
55	1127	19009
56	1141	18880
57	1157	18799
58	1170	18675
59	1184	18564
60	1199	18461
61	1219	18451
62	1234	18361
63	1252	18319
64	1266	18224
65	1281	18131
66	1294	18027
67	1307	17922
68	1320	17818
69	1333	17712
70	1365	17871
71	1412	18203
72	1439	18285
73	1466	18349
74	1507	18593
75	1547	18818
76	1595	19126
77	1633	19308
78	1699	19816
79	1743	20051
80	1776	20160
81	1806	20223
82	1832	20240
83	1859	20273
84	1893	20378
85	1923	20443
86	1947	20442
87	2011	20846
88	2050	20991
89	2097	21210
90	2124	21224
91	2140	21130
92	2156	21030
93	2174	20958
94	2188	20848
95	2202	20736
96	2218	20652
97	2232	20547
98	2245	20437
99	2258	20330
100	2272	20223
101	2285	20122
102	2299	20023
103	2312	19924
104	2325	19823
105	2339	19727
106	2353	19638
107	2366	19546
108	2380	19455
109	2394	19372
110	2407	19285
111	2420	19193
112	2467	19368
113	2499	19426
114	2543	19575
115	2599	19812
116	2641	19936
117	2688	20094
118	2736	20260
119	2764	20269
120	2800	20344
121	2825	20336
122	2849	20314
123	2873	20297
124	2906	20343
125	2927	20306
126	2961	20355
127	2990	20370
128	3037	20512
129	3072	20558
130	3101	20574
131	3143	20669
132	3169	20662
133	3192	20633
134	3207	20550
135	3220	20462
136	3235	20379
137	3248	20289
138	3261	20204
139	3274	20115
140	3287	20030
141	3301	19946
142	3314	19864
143	3327	19779
144	3340	19699
145	3353	19616
146	3366	19533
147	3380	19460
148	3393	19383
149	3407	19310
150	3420	19234
151	3434	19162
152	3448	19091
153	3465	19039
154	3478	18965
